n;id;titulo;canal;enlace;fecha;anyo;mes;tipo
58;r4gRGLsdKv4;A Plane Lost Its Roof at 24,000 Feet But Managed to Land;BRIGHT SIDE;https://www.youtube.com/watch?v=r4gRGLsdKv4;2019-04-27T17:00:05Z;2019;4;Evento
59;#¿NOMBRE?;Maritime search and rescue - Documentary;Best Documentary;https://www.youtube.com/watch?v=-OFLmo2C-WE;2019-04-14T15:58:42Z;2019;4;Evento
60;jD1mrJxHYX8;Mazunte y Zipolite ¿Qué hacer? / Costo X Destino / with english subtitles;costoXdestino;https://www.youtube.com/watch?v=jD1mrJxHYX8;2019-04-15T21:03:34Z;2019;4;Viaje
61;6ASD8gHrDeE;Новая Зеландия. Мечта путешественника. Большой выпуск.;Антон Птушкин;https://www.youtube.com/watch?v=6ASD8gHrDeE;2019-05-07T13:00:01Z;2019;5;Viaje
62;N7-gniIB0Ls;Borobudur Temple - Where History Lives Forever  -  Wonderful Indonesia;Wonderful Indonesia;https://www.youtube.com/watch?v=N7-gniIB0Ls;2019-05-13T02:37:15Z;2019;5;Viaje
63;EPggj6MZNm8;Most UNIQUE Middle Eastern Street Food in the GCC!!! ULTIMATE Omani Street Food Tour in Muscat!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=EPggj6MZNm8;2019-05-15T13:14:40Z;2019;5;Comida
64;iyjKcWFV0sw;Asia’s SHOCKING Live Animal Market!!! Extreme Food Tour in the Mekong Delta!;Best Ever Food Review Show;https://www.youtube.com/watch?v=iyjKcWFV0sw;2019-05-29T12:32:15Z;2019;5;Comida
65;nEhanR17pOM;¡MOMENTOS DIVERTIDOS DE LOS COMPAS EN LA VIDA REAL! 😂 VLOG ASTURIAS 2019;Mikecrack;https://www.youtube.com/watch?v=nEhanR17pOM;2019-05-31T02:25:13Z;2019;5;Evento
66;ifpCo-jIYFs;SHOCKING Tribal Food in Kenya!!! Rarely Seen Food of the Maasai People!;Best Ever Food Review Show;https://www.youtube.com/watch?v=ifpCo-jIYFs;2019-05-02T12:29:52Z;2019;5;Comida
67;KPMZdUg2GjM;"Congo: L&#39;embarcation de L&#39;enfer  -  Les routes de l&#39;impossible";Les Routes de l'impossible;https://www.youtube.com/watch?v=KPMZdUg2GjM;2019-05-18T18:58:44Z;2019;5;Viaje
68;j6bGZXk6F2E;Why Mānuka Honey Is So Expensive  -  So Expensive;Insider Business;https://www.youtube.com/watch?v=j6bGZXk6F2E;2019-05-25T15:00:07Z;2019;5;Comida
