n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
68;HCVYolhSPBY;EL MAYOR ENFADO DE LA HISTORIA DE CRISTÓBAL SORIA;El Chiringuito de Jugones;https://www.youtube.com/watch?v=HCVYolhSPBY;2019-05-08T00:43:55Z;2019;5;8;17;Fútbol
69;CROx4XvLJTk;Kawhi Leonard Sends Philadelphia 76ers Home With Epic Buzzer-Beater in Game 7;Bleacher Report;https://www.youtube.com/watch?v=CROx4XvLJTk;2019-05-13T01:47:48Z;2019;5;9;17;Baloncesto
70;SQBca2ifq_Q;The Champions: Season 2 in Full;B/R Football;https://www.youtube.com/watch?v=SQBca2ifq_Q;2019-05-30T16:42:46Z;2019;5;10;17;Fútbol
71;#¿NOMBRE?;Top 10 Moments of Ayrton Senna Brilliance;FORMULA 1;https://www.youtube.com/watch?v=-pItzcHBHt0;2019-05-01T13:30:00Z;2019;5;11;17;Automovilismo
72;MUjmUeYHeFo;PUERTO VALLARTA 2019 URBAN DOWNHILL VLOG - Bienvenido Aguado;Bienvenido Aguado - HAPPYRIDINGS;https://www.youtube.com/watch?v=MUjmUeYHeFo;2019-05-26T12:35:08Z;2019;5;12;17;Ciclismo
73;xsWaxYlCbac;2019 Spanish Grand Prix: Race Highlights;FORMULA 1;https://www.youtube.com/watch?v=xsWaxYlCbac;2019-05-12T17:37:07Z;2019;5;13;17;Automovilismo
74;j9ihJMqZGD0;"Messi&#39;s first official goal for FC Barcelona";FC Barcelona;https://www.youtube.com/watch?v=j9ihJMqZGD0;2019-05-01T08:10:41Z;2019;5;14;17;Fútbol
75;q7U8ThBCAss;Todos los CAMPEONES de los MUNDIALES 🏆⚽🌟;Forza Champions;https://www.youtube.com/watch?v=q7U8ThBCAss;2019-05-06T17:00:10Z;2019;5;15;17;Fútbol
76;#¿NOMBRE?;8 Simple Exercise to Lose Love Handles Without Gym;BRIGHT SIDE;https://www.youtube.com/watch?v=-HDzxuSddJw;2019-06-03T03:00:00Z;2019;6;1;17;Fitness
77;wL87zJ6wgxw;Rutina para aumentar y tener unos glúteos grandes y bonitos;gymvirtual;https://www.youtube.com/watch?v=wL87zJ6wgxw;2019-06-27T16:00:08Z;2019;6;2;17;Fitness
78;L8taGwfp2sU;15 BEST Skill Moves to Beat Defenders in REAL GAMES;AllAttack;https://www.youtube.com/watch?v=L8taGwfp2sU;2019-06-29T16:07:06Z;2019;6;3;17;Fútbol
79;Pvxj-1dgVk0;Rutina intensa de abdomen para un vientre plano | 8 minutos;gymvirtual;https://www.youtube.com/watch?v=Pvxj-1dgVk0;2019-06-24T16:00:04Z;2019;6;4;17;Fitness
80;8ar1bMAGfoY;Penalty Real Madrid vs Atletico Madrid LaLiga Promises 2019;SACA FÚTBOL;https://www.youtube.com/watch?v=8ar1bMAGfoY;2019-06-28T09:44:47Z;2019;6;5;17;Fútbol
81;jLqyRdwDzBQ;Francis Ngannou Top 5 Finishes;UFC - Ultimate Fighting Championship;https://www.youtube.com/watch?v=jLqyRdwDzBQ;2019-06-25T17:19:28Z;2019;6;6;17;Artes marciales mixtas
82;YMD6bCudpQI;7 Exercises to Build Bigger Arms Without Heavy Weights;BRIGHT SIDE;https://www.youtube.com/watch?v=YMD6bCudpQI;2019-06-03T18:00:04Z;2019;6;7;17;Fitness
83;WamU36hXiNw;Tu Primera Clase de Yoga (Nivel principiante);Xuan Lan Yoga;https://www.youtube.com/watch?v=WamU36hXiNw;2019-06-20T18:00:05Z;2019;6;8;17;Yoga
84;d4gVQngYmIg;Perder Peso Bailando En Casa Para Principiantes;Sientete Joven;https://www.youtube.com/watch?v=d4gVQngYmIg;2019-06-30T17:45:01Z;2019;6;9;17;Fitness
85;s2h0tFWwqFc;FREESTYLE SWIMMING: 5 MOST COMMON MISTAKES;SwimUp;https://www.youtube.com/watch?v=s2h0tFWwqFc;2019-06-26T09:00:08Z;2019;6;10;17;Natación
86;Qszm4R4_DJ8;4 Unstoppable Basketball Dribbling Combo Moves | Basketball Scoring Tips;ShotMechanics;https://www.youtube.com/watch?v=Qszm4R4_DJ8;2019-06-19T22:15:48Z;2019;6;11;17;Baloncesto
87;xjPi6IcSH_Q;The BEST Plays of the 2019 NBA Finals | Presented by YouTubeTV;NBA;https://www.youtube.com/watch?v=xjPi6IcSH_Q;2019-06-14T16:00:08Z;2019;6;12;17;Baloncesto
88;quf9rjK9ZsI;100 3-Pointers | Stephen Curry is FIRST in NBA Finals History with 100 3PM;NBA;https://www.youtube.com/watch?v=quf9rjK9ZsI;2019-06-01T13:00:10Z;2019;6;13;17;Baloncesto
89;ul2w0EqtqhQ;Real Madrid official music video | If You Create The Noise, the new away kit by adidas;Real Madrid;https://www.youtube.com/watch?v=ul2w0EqtqhQ;2019-06-27T08:00:07Z;2019;6;14;17;Fútbol
90;g1yfMljc8Dk;Who Played It Best? | Best Lofted Drives of the World Cup | Part 1 | ICC Cricket World Cup 2019;ICC;https://www.youtube.com/watch?v=g1yfMljc8Dk;2019-06-21T12:00:11Z;2019;6;15;17;Cricket
91;dUy11UbxPBc;9-Minute Home Workout for Strong Legs Without Weights;BRIGHT SIDE;https://www.youtube.com/watch?v=dUy11UbxPBc;2019-07-16T03:00:02Z;2019;7;1;17;Fitness
