N;Logo;Channel;Watch time (mins);Stream time (mins);Peak viewers;Average viewers;Followers;Partnered;Mature;Language;mes;anyo
47;https://static-cdn.jtvnw.net/jtv_user_pictures/85ffc143-b76f-4a7c-9564-1bbf77bb3755-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;teampremium_samuel;30;15;2;2;7;false;false;Spanish;7;2020
48;https://static-cdn.jtvnw.net/jtv_user_pictures/bb8c4d0c-cee8-407c-94db-4c49686d2197-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;elperalta21;30;15;2;2;155;false;false;Spanish;7;2020
49;https://static-cdn.jtvnw.net/user-default-pictures-uv/dbdc9198-def8-11e9-8681-784f43822e80-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;pu19prr;15;15;1;1;6;false;false;Spanish;7;2020
50;https://static-cdn.jtvnw.net/jtv_user_pictures/57781d80-1e92-484a-9778-8b3033f66321-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;hugooo_123;15;15;1;1;1;false;false;Spanish;7;2020
51;https://static-cdn.jtvnw.net/jtv_user_pictures/9b1276e0-d9d8-4df6-9af3-80272fd111c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;gatillofacil88;15;15;1;1;20;false;true;Spanish;7;2020
52;https://static-cdn.jtvnw.net/jtv_user_pictures/610f9b26-7a82-435e-be41-a27559a18588-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;teopaez7;15;15;1;1;1;false;false;Spanish;7;2020
53;https://static-cdn.jtvnw.net/jtv_user_pictures/85d7b2ac-0ab2-4e9e-8a9e-2ee81756d662-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;alexrodgue;15;15;1;1;14;false;false;Spanish;7;2020
54;https://static-cdn.jtvnw.net/jtv_user_pictures/ef1bf0ad-e785-4eba-bea8-3b8a6cc4a33e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rootbeardjiujitsu;15;15;1;1;47;false;true;Spanish;7;2020
55;https://static-cdn.jtvnw.net/jtv_user_pictures/dc32f0a2-200a-4a10-80e7-be89d2fffcf5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ZomberZG;0;15;0;0;0;false;false;Spanish;7;2020
1;https://static-cdn.jtvnw.net/jtv_user_pictures/cef87e16-c8e6-4c5e-ad1d-8de043257dce-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;internetv;1158465;5310;1190;218;2821;true;false;Spanish;8;2020
2;https://static-cdn.jtvnw.net/jtv_user_pictures/07fbc74c-cc9f-4665-a891-b4f2320c9191-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;shelao;499695;930;911;537;65657;true;false;Spanish;8;2020
3;https://static-cdn.jtvnw.net/jtv_user_pictures/f36419dd-389b-4c08-b11d-9b862515bcc3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvbeisbol;349485;4380;511;80;479;true;false;Spanish;8;2020
4;https://static-cdn.jtvnw.net/jtv_user_pictures/0054e9bb-0d27-46cc-bf2b-43cf3a23349c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RCDMallorca1916;138495;285;899;486;469;true;false;Spanish;8;2020
5;https://static-cdn.jtvnw.net/jtv_user_pictures/383d11c3-e92a-4c8f-8067-1b5f353716f5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;SaxogamingTV;117330;585;318;201;62781;true;false;Spanish;8;2020
6;https://static-cdn.jtvnw.net/jtv_user_pictures/f6ce8863-3c5e-4fef-aa8c-78c2e78c2273-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;senoritaxxxgamer;66270;675;489;98;66;false;false;Spanish;8;2020
7;https://static-cdn.jtvnw.net/jtv_user_pictures/8bc5a933-2d10-49c3-8fd7-85975ac6bc30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;PlanetaNBA;64080;3705;41;17;686;true;false;Spanish;8;2020
8;https://static-cdn.jtvnw.net/jtv_user_pictures/6e055171-f46c-4a7f-b304-96abb06bb631-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;ilbflive;37230;30;2132;1241;1833;false;false;Spanish;8;2020
9;https://static-cdn.jtvnw.net/jtv_user_pictures/a93ebe2e-b370-47b2-83bc-669639aca6a9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Balong;36345;1005;105;36;3079;false;false;Spanish;8;2020
10;https://static-cdn.jtvnw.net/jtv_user_pictures/6321568c-6be5-46c0-a6e2-ee81a65a0a62-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;miquelserrano;34035;465;129;73;8281;true;true;Spanish;8;2020
