n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
59;Ul591oDDTaA;DANCE Or GET SHOT In Fortnite SIMON SAYS!;Jelly;https://www.youtube.com/watch?v=Ul591oDDTaA;2019-04-04T02:16:08Z;2019;4;14;20;Fortnite
60;8o-VGnFaStg;"I Made $246,397,197,269 by Deleting the Internet - Startup Company gameplay - Let&#39;s Game It Out";Let's Game It Out;https://www.youtube.com/watch?v=8o-VGnFaStg;2019-04-25T16:00:00Z;2019;4;15;20;Startup Company
61;Z8Hc6zwG_YA;!LA RULETA DE LAS ARMAS EN MINECRAFT! ???? ARMA NOOB VS ARMA PRO (MINECRAFT MODS);ElTrollino;https://www.youtube.com/watch?v=Z8Hc6zwG_YA;2019-05-08T22:03:18Z;2019;5;1;20;Minecraft
62;I5MUTl_Eejo;¡ME ESCONDO EN LA HABITACIÓN SECRETA DE MINECRAFT! ?? EL ESCONDITE EN MINECRAFT;ElTrollino;https://www.youtube.com/watch?v=I5MUTl_Eejo;2019-05-25T16:59:40Z;2019;5;2;20;Minecraft
63;_DtM76PVhsE;¡LA RULETA DE LOS VENGADORES! ???? PRUEBA TU SUERTE EN MINECRAFT AVENGERS;Timba Vk;https://www.youtube.com/watch?v=_DtM76PVhsE;2019-05-10T20:00:04Z;2019;5;3;20;Minecraft
64;e14RrJfUWis;TROLLINO Y MIKECRACK SON ENCERRADOS EN LA PRISION DE ENDERMAN!! ?? MAPA MINECRAFT;ElTrollino;https://www.youtube.com/watch?v=e14RrJfUWis;2019-05-02T21:06:38Z;2019;5;4;20;Minecraft
65;i3-par3l9m8;EASY Ways To Defend A 1.14 Minecraft Village;Grian;https://www.youtube.com/watch?v=i3-par3l9m8;2019-05-27T17:00:06Z;2019;5;5;20;Minecraft
66;PmLonemzpgg;MAPA TROLL: NADIE PENSÓ QUE SERÍA TAN DIFÍCIL  ?? MIKECRACK MINI WORLD #6;Mikecrack;https://www.youtube.com/watch?v=PmLonemzpgg;2019-05-02T23:47:28Z;2019;5;6;20;Mini World
67;WDbyctxLQFM;¡EL FINAL DE MIKELEX! ¿ESCAPAMOS DEL BOSQUE? ?? THE FOREST MIKELEX #11 FINAL;Mikecrack;https://www.youtube.com/watch?v=WDbyctxLQFM;2019-05-08T00:42:45Z;2019;5;7;20;The Forest
68;TPvdhCCgmn8;¡ME QUIERO COMER ESTE ESQUELETO LEGENDARIO CON TACOS! ???? MINECRAFT BUILD BATTLE #28;Mikecrack;https://www.youtube.com/watch?v=TPvdhCCgmn8;2019-05-20T03:59:56Z;2019;5;8;20;Minecraft
69;Toa8ek8yB_Q;ME ESCONDO DENTRO DEL GUANTELETE DE THANOS ?? LOS COMPAS EN EL MEJOR ESCONDITE DE MINECRAFT?;invictor;https://www.youtube.com/watch?v=Toa8ek8yB_Q;2019-05-17T22:14:39Z;2019;5;9;20;Minecraft
70;puNA-4bmX1Y;ASI FUE COMO GANE EL TORNEO DE YOUTUBERS OFICIAL DE NIMOTV | TheDonato;TheDonato;https://www.youtube.com/watch?v=puNA-4bmX1Y;2019-05-02T02:21:43Z;2019;5;10;20;Free Fire
