N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
51;"The World&#39;s Most Dangerous Approach - Paro, Bhutan";Sam Chui;Bhután;Viaje;SbLHah4XUwk;https://www.youtube.com/watch?v=SbLHah4XUwk;2019-04-20T10:01:01Z;2019;4
52;Day in the Life of a Typical Japanese Office Worker in Tokyo;Paolo fromTOKYO;Japón;Evento;YdiWTYkY1uY;https://www.youtube.com/watch?v=YdiWTYkY1uY;2019-04-05T23:59:18Z;2019;4
53;14 Reasons the Philippines Is Different from the Rest of the World;BRIGHT SIDE;Filipinas;Viaje;OSRILHv0nQI;https://www.youtube.com/watch?v=OSRILHv0nQI;2019-04-22T17:00:02Z;2019;4
54;Street Food in Pakistan - HARDCORE Chicken, GOAT Foot PAYA + Pakistani Street Food TOUR of Lahore!!!;The Food Ranger;Pakistán;Comida;cuVHriqJJJE;https://www.youtube.com/watch?v=cuVHriqJJJE;2019-04-13T14:00:04Z;2019;4
55;RECORD BREAKING Thali in Pune, India!!! (Matt Stonie Has NO Chance);Best Ever Food Review Show;India;Comida;4A8Fjgg8FXc;https://www.youtube.com/watch?v=4A8Fjgg8FXc;2019-04-07T12:27:33Z;2019;4
56;LA Food Truck Serves The Juiciest Tacos  -  Food Insider;Insider Food;Estados Unidos;Comida;MysqcwTB4So;https://www.youtube.com/watch?v=MysqcwTB4So;2019-04-07T16:00:04Z;2019;4
57;"Inside Europe&#39;s Biggest Caviar Farm  -  Regional Eats  -  Insider Food";Insider Food;Varios países;Comida;XKqwBzQFRws;https://www.youtube.com/watch?v=XKqwBzQFRws;2019-04-16T16:00:04Z;2019;4
58;A Plane Lost Its Roof at 24,000 Feet But Managed to Land;BRIGHT SIDE;Varios países;Evento;r4gRGLsdKv4;https://www.youtube.com/watch?v=r4gRGLsdKv4;2019-04-27T17:00:05Z;2019;4
59;Maritime search and rescue - Documentary;Best Documentary;Varios países;Evento;-OFLmo2C-WE;https://www.youtube.com/watch?v=-OFLmo2C-WE;2019-04-14T15:58:42Z;2019;4
60;Mazunte y Zipolite ¿Qué hacer? / Costo X Destino / with english subtitles;costoXdestino;México;Viaje;jD1mrJxHYX8;https://www.youtube.com/watch?v=jD1mrJxHYX8;2019-04-15T21:03:34Z;2019;4
61;Новая Зеландия. Мечта путешественника. Большой выпуск.;Антон Птушкин;Nueva Zelanda;Viaje;6ASD8gHrDeE;https://www.youtube.com/watch?v=6ASD8gHrDeE;2019-05-07T13:00:01Z;2019;5
62;Borobudur Temple - Where History Lives Forever  -  Wonderful Indonesia;Wonderful Indonesia;Indonesia;Viaje;N7-gniIB0Ls;https://www.youtube.com/watch?v=N7-gniIB0Ls;2019-05-13T02:37:15Z;2019;5
63;Most UNIQUE Middle Eastern Street Food in the GCC!!! ULTIMATE Omani Street Food Tour in Muscat!!!;Best Ever Food Review Show;Omán;Comida;EPggj6MZNm8;https://www.youtube.com/watch?v=EPggj6MZNm8;2019-05-15T13:14:40Z;2019;5
64;Asia’s SHOCKING Live Animal Market!!! Extreme Food Tour in the Mekong Delta!;Best Ever Food Review Show;Varios países;Comida;iyjKcWFV0sw;https://www.youtube.com/watch?v=iyjKcWFV0sw;2019-05-29T12:32:15Z;2019;5
65;¡MOMENTOS DIVERTIDOS DE LOS COMPAS EN LA VIDA REAL! 😂 VLOG ASTURIAS 2019;Mikecrack;España;Evento;nEhanR17pOM;https://www.youtube.com/watch?v=nEhanR17pOM;2019-05-31T02:25:13Z;2019;5
66;SHOCKING Tribal Food in Kenya!!! Rarely Seen Food of the Maasai People!;Best Ever Food Review Show;Kenia;Comida;ifpCo-jIYFs;https://www.youtube.com/watch?v=ifpCo-jIYFs;2019-05-02T12:29:52Z;2019;5
67;"Congo: L&#39;embarcation de L&#39;enfer  -  Les routes de l&#39;impossible";Les Routes de l'impossible;República Democrática del Congo;Viaje;KPMZdUg2GjM;https://www.youtube.com/watch?v=KPMZdUg2GjM;2019-05-18T18:58:44Z;2019;5
68;Why Mānuka Honey Is So Expensive  -  So Expensive;Insider Business;Varios países;Comida;j6bGZXk6F2E;https://www.youtube.com/watch?v=j6bGZXk6F2E;2019-05-25T15:00:07Z;2019;5
